DATE;EVENT
01/01/18;Winter Recess (Schools closed)
15/01/18;Dr. Martin Luther King Jr. Day (schools closed) 
16/02/18;Lunar New Year (schools closed) 
19/02/18;Midwinter Recess (includes Washington’s Birthday and Lincoln’s Birthday, observed) (schools closed) 
20/02/18;Midwinter Recess (includes Washington’s Birthday and Lincoln’s Birthday, observed) (schools closed) 
21/02/18;Midwinter Recess (includes Washington’s Birthday and Lincoln’s Birthday, observed) (schools closed) 
22/02/18;Midwinter Recess (includes Washington’s Birthday and Lincoln’s Birthday, observed) (schools closed) 
23/02/18;Midwinter Recess (includes Washington’s Birthday and Lincoln’s Birthday, observed) (schools closed) 
30/03/18;Spring Recess (including Good Friday and Passover) (schools closed) 
31/03/18;Spring Recess (including Good Friday and Passover) (schools closed) 
01/04/18;Spring Recess (including Good Friday and Passover) (schools closed) 
02/04/18;Spring Recess (including Good Friday and Passover) (schools closed) 
03/04/18;Spring Recess (including Good Friday and Passover) (schools closed) 
04/04/18;Spring Recess (including Good Friday and Passover) (schools closed) 
05/04/18;Spring Recess (including Good Friday and Passover) (schools closed) 
06/04/18;Spring Recess (including Good Friday and Passover) (schools closed) 
28/05/18;Memorial Day (schools closed) 
15/06/18;Eid al-Fitr (schools closed)
27/06/18;Summer Break
28/06/18;Summer Break
29/06/18;Summer Break
30/06/18;Summer Break
01/07/18;Summer Break
02/07/18;Summer Break
03/07/18;Summer Break
04/07/18;Summer Break
05/07/18;Summer Break
06/07/18;Summer Break
07/07/18;Summer Break
08/07/18;Summer Break
09/07/18;Summer Break
10/07/18;Summer Break
11/07/18;Summer Break
12/07/18;Summer Break
13/07/18;Summer Break
14/07/18;Summer Break
15/07/18;Summer Break
16/07/18;Summer Break
17/07/18;Summer Break
18/07/18;Summer Break
19/07/18;Summer Break
20/07/18;Summer Break
21/07/18;Summer Break
22/07/18;Summer Break
23/07/18;Summer Break
24/07/18;Summer Break
25/07/18;Summer Break
26/07/18;Summer Break
27/07/18;Summer Break
28/07/18;Summer Break
29/07/18;Summer Break
30/07/18;Summer Break
31/07/18;Summer Break
01/08/18;Summer Break
02/08/18;Summer Break
03/08/18;Summer Break
04/08/18;Summer Break
05/08/18;Summer Break
06/08/18;Summer Break
07/08/18;Summer Break
08/08/18;Summer Break
09/08/18;Summer Break
10/08/18;Summer Break
11/08/18;Summer Break
12/08/18;Summer Break
13/08/18;Summer Break
14/08/18;Summer Break
15/08/18;Summer Break
